ID_Transacao,Data_Venda,ID_Cliente,Nome_Cliente,Genero_Cliente,Faixa_Etaria,Regiao,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Desconto_Pct,Metodo_Pagamento,Status_Pedido,Canal_Venda,Valor_Total,Ano,Mes,AnoMes,DiaSemana
3221,2023-02-26,196,Anna Liz Carvalho,F,26-35,Sul,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,71.73,1,15.0,Cartão Crédito,Entregue,Marketplace,60.97,2023,2,2023-02,Sunday
5145,2023-02-26,143,Cauê Garcia,M,18-25,Nordeste,Kit Algemas Veludo,Acessórios BDSM,282.84,1,0.0,Cartão Crédito,Entregue,Site,282.84,2023,2,2023-02,Sunday
2196,2023-01-13,162,Davi Silveira,M,36-45,Norte,Lubrificante Sabores Baunilha,Lubrificantes,32.51,1,0.0,Pix,Entregue,Site,32.51,2023,1,2023-01,Friday
656,2023-06-16,38,Dra. Mariane Pacheco,F,26-35,Sudeste,Gel Excitante Masculino,Lubrificantes,30.84,1,0.0,Cartão Crédito,Entregue,Site,30.84,2023,6,2023-06,Friday
2537,2024-05-05,351,Sr. Thales Andrade,M,36-45,Sul,Vibrador Clássico Silicone,Vibradores,167.45,3,0.0,Boleto,Entregue,App,502.35,2024,5,2024-05,Sunday
374,2024-12-10,303,Ravi Lucca Sales,M,36-45,Sudeste,Vibrador Ponto G Flex,Vibradores,380.37,2,0.0,Pix,Entregue,Site,760.74,2024,12,2024-12,Tuesday
2796,2023-07-01,242,Maya Cavalcanti,F,46+,Norte,Lubrificante Base Silicone,Lubrificantes,44.56,1,20.0,Pix,Entregue,Site,35.65,2023,7,2023-07,Saturday
1922,2023-06-03,1,Sr. Apollo Sousa,M,18-25,Sudeste,Vibrador Duplo Prazer,Vibradores,297.84,3,0.0,Pix,Entregue,Marketplace,893.52,2023,6,2023-06,Saturday
3636,2023-12-15,181,Diogo Rezende,M,46+,Sudeste,Lubrificante Sabores Morango,Lubrificantes,33.45,2,0.0,Boleto,Entregue,Site,66.9,2023,12,2023-12,Friday
4786,2024-06-19,130,Sra. Mariane Novais,F,46+,Nordeste,Fantasia Policial,Lingerie,141.57,1,20.0,Pix,Entregue,Site,113.26,2024,6,2024-06,Wednesday
577,2023-06-04,45,Yuri Albuquerque,M,46+,Sudeste,Camisola Sensual Preta,Lingerie,155.02,1,0.0,Pix,Entregue,Site,155.02,2023,6,2023-06,Sunday
3291,2024-06-14,20,Sr. João Vitor Barros,M,18-25,Sudeste,Kit Algemas Veludo,Acessórios BDSM,215.25,1,15.0,Pix,Entregue,App,182.96,2024,6,2024-06,Friday
2866,2023-04-25,233,Sr. Breno Pastor,M,46+,Sudeste,Fantasia Enfermeira,Lingerie,134.2,2,0.0,Pix,Entregue,Marketplace,268.4,2023,4,2023-04,Tuesday
1256,2023-06-18,154,Maya Ferreira,F,18-25,Sudeste,Body Coelhinha Plus Size,Lingerie,162.86,3,0.0,Pix,Entregue,App,488.58,2023,6,2023-06,Sunday
24,2023-04-29,126,Ana Júlia Borges,F,36-45,Sudeste,Fantasia Enfermeira,Lingerie,153.15,2,0.0,Pix,Entregue,Site,306.3,2023,4,2023-04,Saturday
1104,2023-04-22,597,Maria da Costa,F,26-35,Sul,Camisola Sensual Preta,Lingerie,176.16,1,10.0,Cartão Crédito,Entregue,Site,158.54,2023,4,2023-04,Saturday
830,2023-05-08,164,Dr. Luan Guerra,M,26-35,Sudeste,Mini Vibrador Discreto,Vibradores,386.95,1,5.0,Cartão Débito,Entregue,Site,367.6,2023,5,2023-05,Monday
5122,2023-10-17,591,Mariah Porto,F,36-45,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,87.6,1,15.0,Boleto,Entregue,Site,74.46,2023,10,2023-10,Tuesday
4029,2024-06-04,349,Augusto Dias,M,26-35,Sudeste,Cartas Posições Kamasutra,Jogos Adultos,81.93,1,15.0,Boleto,Entregue,App,69.64,2024,6,2024-06,Tuesday
2603,2023-03-08,358,Sra. Anna Liz Farias,F,36-45,Sudeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,74.27,1,0.0,Cartão Débito,Entregue,Marketplace,74.27,2023,3,2023-03,Wednesday
4461,2024-11-30,141,Lívia Viana,F,36-45,Sudeste,Camisola Sensual Preta,Lingerie,143.07,1,0.0,Cartão Crédito,Entregue,Site,143.07,2024,11,2024-11,Saturday
3140,2024-10-25,20,Sr. João Vitor Barros,M,18-25,Sudeste,Chicote de Couro Soft,Acessórios BDSM,185.94,1,0.0,Pix,Entregue,App,185.94,2024,10,2024-10,Friday
4582,2023-10-18,100,Anna Liz Cirino,F,18-25,Centro-Oeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,72.63,2,0.0,Cartão Crédito,Entregue,Site,145.26,2023,10,2023-10,Wednesday
3701,2024-04-30,253,Stella Correia,F,26-35,Sudeste,Kit Algemas Veludo,Acessórios BDSM,115.01,3,0.0,Cartão Crédito,Entregue,Site,345.03,2024,4,2024-04,Tuesday
320,2024-01-20,80,Nina Siqueira,F,26-35,Sul,Gel Excitante Masculino,Lubrificantes,54.77,2,10.0,Pix,Entregue,Site,98.59,2024,1,2024-01,Saturday
3200,2024-02-29,137,Luiz Gustavo Vasconcelos,M,26-35,Nordeste,Mordaça Silicone,Acessórios BDSM,115.66,1,0.0,Cartão Crédito,Devolvido,App,115.66,2024,2,2024-02,Thursday
2226,2023-02-26,172,Sophia Melo,F,36-45,Nordeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,54.82,3,0.0,Cartão Crédito,Entregue,Marketplace,164.46,2023,2,2023-02,Sunday
4891,2023-06-28,105,Mariah Ribeiro,F,18-25,Nordeste,Creme Excitante Feminino,Cosméticos Íntimos,149.42,1,30.0,Pix,Devolvido,App,104.59,2023,6,2023-06,Wednesday
1544,2024-07-03,82,Lucca Caldeira,M,26-35,Nordeste,Gel Excitante Masculino,Lubrificantes,81.87,1,5.0,Cartão Débito,Entregue,Site,77.78,2024,7,2024-07,Wednesday
2116,2024-12-23,46,Dra. Bruna Rodrigues,F,18-25,Nordeste,Vibrador Rabbit Premium,Vibradores,391.01,1,5.0,Pix,Entregue,Site,371.46,2024,12,2024-12,Monday
5313,2023-12-06,596,Lavínia Lima,F,36-45,Sudeste,Creme Retardante Masculino,Cosméticos Íntimos,146.47,1,15.0,Cartão Crédito,Entregue,Marketplace,124.5,2023,12,2023-12,Wednesday
1601,2023-05-24,60,Sra. Ana Lívia Teixeira,F,26-35,Sul,Camisola Sensual Preta,Lingerie,112.31,2,10.0,Cartão Débito,Entregue,Site,202.16,2023,5,2023-05,Wednesday
423,2024-12-25,27,Elisa Martins,F,26-35,Sul,Conjunto Lingerie Boudoir,Lingerie,86.84,2,0.0,Pix,Entregue,Site,173.68,2024,12,2024-12,Wednesday
3711,2024-07-16,3,Cauã Rocha,M,18-25,Sudeste,Lubrificante Base Silicone,Lubrificantes,78.09,1,0.0,Cartão Débito,Entregue,Marketplace,78.09,2024,7,2024-07,Tuesday
1102,2023-02-13,697,Rael da Cruz,M,26-35,Nordeste,Mordaça Silicone,Acessórios BDSM,218.84,1,0.0,Pix,Devolvido,Marketplace,218.84,2023,2,2023-02,Monday
4145,2024-11-29,579,Bruno Freitas,M,18-25,Centro-Oeste,Lubrificante Base Silicone,Lubrificantes,43.97,2,0.0,Cartão Crédito,Entregue,Site,87.94,2024,11,2024-11,Friday
3594,2023-12-27,233,Sr. Breno Pastor,M,46+,Sudeste,Fantasia Policial,Lingerie,178.69,1,0.0,Cartão Crédito,Entregue,Site,178.69,2023,12,2023-12,Wednesday
2585,2023-06-08,237,Mariane Ribeiro,F,18-25,Nordeste,Lubrificante Base Silicone,Lubrificantes,56.51,1,0.0,Pix,Entregue,Site,56.51,2023,6,2023-06,Thursday
4820,2024-08-15,62,Sra. Eloah da Luz,F,26-35,Sudeste,Conjunto Lingerie Boudoir,Lingerie,177.11,1,15.0,Boleto,Entregue,Marketplace,150.54,2024,8,2024-08,Thursday
5479,2024-10-04,375,Anthony Martins,M,36-45,Sul,Corda de Shibari 5m,Acessórios BDSM,117.28,1,0.0,Cartão Crédito,Entregue,App,117.28,2024,10,2024-10,Friday
2147,2023-06-07,168,Agatha da Rosa,F,26-35,Sul,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,45.97,2,0.0,Cartão Crédito,Entregue,Site,91.94,2023,6,2023-06,Wednesday
2095,2023-03-18,94,Ryan Cassiano,M,36-45,Sudeste,Vibrador Ponto G Flex,Vibradores,463.32,1,0.0,Pix,Entregue,Site,463.32,2023,3,2023-03,Saturday
4579,2023-07-14,719,Maria Júlia Freitas,F,26-35,Sul,Dado do Prazer,Jogos Adultos,107.73,1,0.0,Cartão Crédito,Entregue,App,107.73,2023,7,2023-07,Friday
3766,2023-05-10,99,Emanuel Araújo,M,26-35,Sudeste,Meia-Calça Rendada,Lingerie,115.83,4,0.0,Cartão Crédito,Devolvido,Marketplace,463.32,2023,5,2023-05,Wednesday
298,2024-05-31,68,Benício Fernandes,M,36-45,Sudeste,Meia-Calça Rendada,Lingerie,173.26,2,0.0,Cartão Crédito,Entregue,App,346.52,2024,5,2024-05,Friday
1236,2023-03-06,126,Ana Júlia Borges,F,36-45,Sudeste,Wand Massager Pro,Vibradores,136.21,3,10.0,Pix,Entregue,App,367.77,2023,3,2023-03,Monday
1893,2023-07-18,410,Danilo Carvalho,M,26-35,Centro-Oeste,Gel Excitante Feminino,Lubrificantes,83.21,4,0.0,Cartão Crédito,Entregue,App,332.84,2023,7,2023-07,Tuesday
3996,2023-06-28,159,Zoe Rodrigues,F,46+,Sul,Vibrador Ponto G Flex,Vibradores,177.2,1,0.0,Cartão Crédito,Entregue,Site,177.2,2023,6,2023-06,Wednesday
904,2023-12-28,235,Dr. Dante Vieira,M,18-25,Sudeste,Lubrificante Sabores Baunilha,Lubrificantes,57.53,1,20.0,Pix,Entregue,Site,46.02,2023,12,2023-12,Thursday
280,2024-10-09,405,Marcelo Caldeira,M,26-35,Nordeste,Vibrador Clássico Silicone,Vibradores,169.07,2,0.0,Cartão Crédito,Entregue,App,338.14,2024,10,2024-10,Wednesday
5244,2023-12-29,563,Sra. Isabel Nascimento,Não informado,26-35,Nordeste,Gel Excitante Feminino,Lubrificantes,86.38,2,0.0,Pix,Entregue,App,172.76,2023,12,2023-12,Friday
4640,2023-08-05,423,Esther Campos,F,18-25,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,58.63,2,15.0,Boleto,Entregue,Site,99.67,2023,8,2023-08,Saturday
5207,2024-05-26,412,Danilo Brito,M,36-45,Sudeste,Vibrador Duplo Prazer,Vibradores,332.68,1,0.0,Cartão Crédito,Entregue,Site,332.68,2024,5,2024-05,Sunday
3616,2024-11-11,26,Srta. Yasmin Siqueira,F,46+,Sul,Lubrificante Sabores Morango,Lubrificantes,54.01,1,0.0,Pix,Entregue,App,54.01,2024,11,2024-11,Monday
978,2023-03-20,15,Julia Aparecida,F,26-35,Sudeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,53.14,2,0.0,Pix,Entregue,Site,106.28,2023,3,2023-03,Monday
4664,2023-08-25,443,Srta. Ana Liz Mendes,F,18-25,Nordeste,Mini Vibrador Discreto,Vibradores,201.6,1,25.0,Boleto,Entregue,App,151.2,2023,8,2023-08,Friday
4114,2023-10-10,27,Elisa Martins,F,26-35,Sul,Lingerie Cropped com Bojo,Lingerie,155.78,1,0.0,Boleto,Entregue,Site,155.78,2023,10,2023-10,Tuesday
34,2024-08-04,644,Miguel Dias,M,36-45,Sul,Camisola Sensual Preta,Lingerie,93.05,1,0.0,Boleto,Entregue,App,93.05,2024,8,2024-08,Sunday
4742,2024-12-07,33,Luara Cunha,Não informado,26-35,Norte,Colar e Guia BDSM,Acessórios BDSM,93.1,1,0.0,Pix,Entregue,Site,93.1,2024,12,2024-12,Saturday
2035,2024-09-26,251,Joana Fernandes,F,46+,Sudeste,Fantasia Enfermeira,Lingerie,158.72,2,10.0,Cartão Débito,Entregue,Site,285.7,2024,9,2024-09,Thursday
1346,2023-12-18,152,Joana Cavalcanti,F,26-35,Sul,Vibrador Duplo Prazer,Vibradores,462.29,2,25.0,Boleto,Entregue,Site,693.44,2023,12,2023-12,Monday
1887,2024-06-05,3,Cauã Rocha,M,18-25,Sudeste,Vibrador Ponto G Flex,Vibradores,360.28,1,30.0,Cartão Crédito,Entregue,Site,252.2,2024,6,2024-06,Wednesday
466,2023-08-22,129,Julia Castro,F,26-35,Sudeste,Meia-Calça Rendada,Lingerie,92.62,2,0.0,Cartão Crédito,Entregue,Site,185.24,2023,8,2023-08,Tuesday
4446,2024-03-19,724,Lucas Gabriel Melo,M,46+,Sul,Chicote de Couro Soft,Acessórios BDSM,279.31,2,20.0,Cartão Crédito,Entregue,Site,446.9,2024,3,2024-03,Tuesday
3406,2023-04-18,417,Sr. Samuel Pimenta,M,36-45,Sul,Spray Prolongador,Cosméticos Íntimos,106.1,1,0.0,Pix,Entregue,Site,106.1,2023,4,2023-04,Tuesday
2227,2023-03-25,99,Emanuel Araújo,M,26-35,Sudeste,Vibrador Rabbit Premium,Vibradores,90.4,2,0.0,Pix,Entregue,App,180.8,2023,3,2023-03,Saturday
2479,2024-06-27,38,Dra. Mariane Pacheco,F,26-35,Sudeste,Vibrador Ponto G Flex,Vibradores,345.21,2,0.0,Cartão Crédito,Entregue,Site,690.42,2024,6,2024-06,Thursday
1048,2024-01-06,7,Apollo Novais,M,18-25,Nordeste,Spray Prolongador,Cosméticos Íntimos,149.66,2,0.0,Pix,Entregue,Site,299.32,2024,1,2024-01,Saturday
4988,2024-04-29,246,João Lucas Machado,M,26-35,Sudeste,Lingerie Cropped com Bojo,Lingerie,88.62,1,0.0,Pix,Entregue,Site,88.62,2024,4,2024-04,Monday
1850,2023-02-19,276,Larissa Melo,F,18-25,Sul,Gel Excitante Feminino,Lubrificantes,42.6,2,0.0,Cartão Crédito,Entregue,Site,85.2,2023,2,2023-02,Sunday
3081,2024-03-11,347,Esther Sampaio,F,18-25,Nordeste,Meia-Calça Rendada,Lingerie,123.69,2,30.0,Pix,Entregue,Site,173.17,2024,3,2024-03,Monday
612,2023-04-17,409,Kevin Rezende,M,26-35,Nordeste,Vibrador Ponto G Flex,Vibradores,132.41,2,0.0,Cartão Crédito,Entregue,App,264.82,2023,4,2023-04,Monday
1434,2024-07-19,291,Eduarda da Costa,F,36-45,Sudeste,Kit Algemas Veludo,Acessórios BDSM,293.19,1,0.0,Cartão Crédito,Entregue,Site,293.19,2024,7,2024-07,Friday
1091,2023-02-01,630,Mariane Cavalcante,F,36-45,Sudeste,Vibrador Duplo Prazer,Vibradores,421.17,2,0.0,Pix,Devolvido,Site,842.34,2023,2,2023-02,Wednesday
4190,2023-08-27,317,Sr. Enrico Farias,Não informado,36-45,Nordeste,Body Coelhinha Plus Size,Lingerie,128.5,5,20.0,Cartão Crédito,Entregue,Site,514.0,2023,8,2023-08,Sunday
1213,2023-12-08,50,João Montenegro,M,26-35,Sudeste,Body Coelhinha Plus Size,Lingerie,144.87,1,20.0,Cartão Débito,Entregue,Marketplace,115.9,2023,12,2023-12,Friday
3186,2024-10-27,207,Ryan Câmara,M,26-35,Sudeste,Wand Massager Pro,Vibradores,334.28,1,0.0,Cartão Crédito,Entregue,Site,334.28,2024,10,2024-10,Sunday
291,2024-10-22,9,Pietro Pastor,M,26-35,Sudeste,Massageador Corporal Wave,Vibradores,226.96,3,5.0,Pix,Entregue,App,646.84,2024,10,2024-10,Tuesday
1429,2024-12-05,271,Heloísa Fonseca,F,26-35,Sudeste,Body Rendado Vermelho,Lingerie,60.65,4,25.0,Pix,Entregue,Site,181.95,2024,12,2024-12,Thursday
4803,2023-10-29,562,Larissa Sá,Não informado,36-45,Sudeste,Massageador Corporal Wave,Vibradores,252.48,2,25.0,Pix,Entregue,Site,378.72,2023,10,2023-10,Sunday
2560,2023-06-12,189,Emanuel Souza,M,36-45,Sudeste,Meia-Calça Rendada,Lingerie,141.53,1,0.0,Boleto,Entregue,App,141.53,2023,6,2023-06,Monday
2520,2024-09-17,335,Maria Vitória Mendes,F,46+,Sudeste,Dominó Erótico,Jogos Adultos,96.04,1,0.0,Pix,Entregue,Site,96.04,2024,9,2024-09,Tuesday
1232,2024-12-19,73,Sophie da Costa,F,36-45,Sudeste,Colar e Guia BDSM,Acessórios BDSM,145.83,1,0.0,Cartão Crédito,Entregue,Site,145.83,2024,12,2024-12,Thursday
1026,2024-08-28,175,Leonardo Câmara,M,36-45,Sul,Jogo de Cartas Sexo Quiz,Jogos Adultos,114.07,2,10.0,Boleto,Entregue,Marketplace,205.33,2024,8,2024-08,Wednesday
347,2023-04-10,269,Dra. Valentina Peixoto,F,18-25,Sul,Gel Térmico Sensação Quente,Cosméticos Íntimos,75.3,2,0.0,Cartão Crédito,Entregue,Marketplace,150.6,2023,4,2023-04,Monday
2618,2023-11-20,87,Beatriz Aragão,F,46+,Centro-Oeste,Óleo de Massagem Relaxante,Lubrificantes,73.39,2,0.0,Cartão Crédito,Entregue,Marketplace,146.78,2023,11,2023-11,Monday
3460,2024-06-05,278,Ana Júlia da Cunha,F,26-35,Sul,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,44.79,1,0.0,Pix,Entregue,App,44.79,2024,6,2024-06,Wednesday
1087,2023-11-20,254,Isabella Silveira,F,36-45,Sul,Vibrador Duplo Prazer,Vibradores,417.2,3,0.0,Pix,Entregue,Site,1251.6,2023,11,2023-11,Monday
1401,2024-03-13,51,Thiago Caldeira,Não informado,36-45,Sul,Lubrificante Sabores Morango,Lubrificantes,74.95,1,5.0,Pix,Entregue,Site,71.2,2024,3,2024-03,Wednesday
3832,2023-11-26,419,Dr. Henrique Macedo,M,26-35,Nordeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,41.92,4,5.0,Cartão Crédito,Entregue,App,159.3,2023,11,2023-11,Sunday
1619,2023-12-15,220,Antony Souza,M,18-25,Sudeste,Body Rendado Vermelho,Lingerie,199.62,3,0.0,Cartão Crédito,Entregue,Site,598.86,2023,12,2023-12,Friday
4280,2023-07-24,137,Luiz Gustavo Vasconcelos,M,26-35,Nordeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,85.89,2,0.0,Boleto,Entregue,Site,171.78,2023,7,2023-07,Monday
4739,2024-05-23,129,Julia Castro,F,26-35,Sudeste,Mini Vibrador Discreto,Vibradores,481.7,1,0.0,Pix,Entregue,App,481.7,2024,5,2024-05,Thursday
535,2023-05-26,378,Letícia Porto,F,26-35,Sudeste,Venda para Olhos Satin,Acessórios BDSM,200.44,1,0.0,Pix,Entregue,Site,200.44,2023,5,2023-05,Friday
697,2023-10-08,94,Ryan Cassiano,M,36-45,Sudeste,Body Rendado Vermelho,Lingerie,77.3,2,0.0,Pix,Entregue,Site,154.6,2023,10,2023-10,Sunday
3165,2024-10-30,17,Bruno Novaes,M,26-35,Sudeste,Gel Excitante Masculino,Lubrificantes,68.35,2,30.0,Pix,Entregue,Marketplace,95.69,2024,10,2024-10,Wednesday
4657,2023-06-29,452,Sr. Yuri Silveira,M,36-45,Sudeste,Gel Excitante Feminino,Lubrificantes,80.89,2,15.0,Pix,Entregue,Site,137.51,2023,6,2023-06,Thursday
725,2024-12-22,230,Luana Caldeira,F,26-35,Nordeste,Jogo Tabuleiro Casais,Jogos Adultos,94.0,2,0.0,Pix,Entregue,Marketplace,188.0,2024,12,2024-12,Sunday
80,2023-06-12,35,Diego da Luz,M,26-35,Sudeste,Kit Algemas Veludo,Acessórios BDSM,82.25,1,0.0,Pix,Entregue,Site,82.25,2023,6,2023-06,Monday
1195,2023-08-01,14,Aylla Fogaça,F,36-45,Sudeste,Dominó Erótico,Jogos Adultos,126.31,1,10.0,Pix,Entregue,App,113.68,2023,8,2023-08,Tuesday
1129,2023-05-31,128,Lívia Vargas,F,26-35,Sudeste,Lubrificante Sabores Baunilha,Lubrificantes,64.27,1,0.0,Cartão Débito,Entregue,App,64.27,2023,5,2023-05,Wednesday
4044,2024-10-10,258,Ayla da Rocha,F,18-25,Sul,Lingerie Cropped com Bojo,Lingerie,83.94,1,0.0,Pix,Entregue,Marketplace,83.94,2024,10,2024-10,Thursday
4273,2024-11-30,46,Dra. Bruna Rodrigues,F,18-25,Nordeste,Lingerie Cropped com Bojo,Lingerie,152.72,3,0.0,Cartão Crédito,Entregue,Site,458.16,2024,11,2024-11,Saturday
3407,2023-05-17,481,Eduarda Sá,F,36-45,Sul,Meia-Calça Rendada,Lingerie,170.02,1,0.0,Pix,Entregue,Marketplace,170.02,2023,5,2023-05,Wednesday
1200,2024-11-01,39,Luiz Miguel Câmara,M,36-45,Sudeste,Sabonete Íntimo pH Neutro,Cosméticos Íntimos,111.6,2,0.0,Cartão Crédito,Entregue,Site,223.2,2024,11,2024-11,Friday
5284,2023-02-13,531,Luigi Silva,M,36-45,Sudeste,Dado do Prazer,Jogos Adultos,120.87,1,0.0,Cartão Crédito,Entregue,App,120.87,2023,2,2023-02,Monday
1371,2023-02-16,703,Theo das Neves,M,36-45,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,77.86,4,0.0,Pix,Entregue,App,311.44,2023,2,2023-02,Thursday
2550,2024-06-06,20,Sr. João Vitor Barros,M,18-25,Sudeste,Fantasia Enfermeira,Lingerie,116.91,1,0.0,Pix,Entregue,Marketplace,116.91,2024,6,2024-06,Thursday
1872,2023-06-09,67,Bárbara da Cruz,Não informado,36-45,Norte,Dominó Erótico,Jogos Adultos,103.18,1,20.0,Cartão Crédito,Entregue,Site,82.54,2023,6,2023-06,Friday
2245,2023-01-07,478,Mirella Fernandes,F,36-45,Sul,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,62.92,1,0.0,Boleto,Entregue,App,62.92,2023,1,2023-01,Saturday
2343,2024-12-18,24,Giovanna Rios,F,26-35,Centro-Oeste,Kit Cuidados Íntimos,Cosméticos Íntimos,86.63,3,0.0,Pix,Entregue,Site,259.89,2024,12,2024-12,Wednesday
316,2024-04-01,313,Sra. Lara Cirino,F,46+,Nordeste,Gel Excitante Feminino,Lubrificantes,64.91,1,15.0,Pix,Entregue,Marketplace,55.17,2024,4,2024-04,Monday
3126,2023-07-18,250,Raquel Cunha,F,26-35,Sudeste,Gel Excitante Feminino,Lubrificantes,63.7,1,0.0,Cartão Crédito,Entregue,Site,63.7,2023,7,2023-07,Tuesday
4551,2024-01-25,608,Maria Nogueira,F,36-45,Centro-Oeste,Meia-Calça Rendada,Lingerie,79.74,1,30.0,Pix,Entregue,Marketplace,55.82,2024,1,2024-01,Thursday
4676,2023-09-11,523,Luana Martins,F,36-45,Nordeste,Wand Massager Pro,Vibradores,221.76,1,30.0,Pix,Entregue,App,155.23,2023,9,2023-09,Monday
3304,2024-10-17,107,Gabrielly Rios,F,46+,Nordeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,80.41,1,0.0,Cartão Débito,Entregue,Site,80.41,2024,10,2024-10,Thursday
5098,2024-08-13,84,Melissa Carvalho,F,26-35,Nordeste,Vibrador Rabbit Premium,Vibradores,190.23,1,30.0,Cartão Débito,Entregue,Site,133.16,2024,8,2024-08,Tuesday
5128,2023-04-29,80,Nina Siqueira,F,26-35,Sul,Lubrificante Sabores Baunilha,Lubrificantes,57.47,1,0.0,Boleto,Entregue,Marketplace,57.47,2023,4,2023-04,Saturday
3086,2023-11-08,301,Bento Cavalcante,Não informado,26-35,Norte,Lubrificante Sabores Morango,Lubrificantes,75.79,2,15.0,Pix,Entregue,App,128.84,2023,11,2023-11,Wednesday
1116,2023-02-26,233,Sr. Breno Pastor,M,46+,Sudeste,Vibrador Ponto G Flex,Vibradores,253.01,2,5.0,Pix,Entregue,Site,480.72,2023,2,2023-02,Sunday
4784,2023-03-24,95,Juan Cunha,M,26-35,Sul,Gel Excitante Feminino,Lubrificantes,68.83,1,10.0,Boleto,Entregue,Marketplace,61.95,2023,3,2023-03,Friday
394,2024-07-05,385,Benicio Pereira,M,26-35,Sul,Óleo de Massagem Relaxante,Lubrificantes,38.79,1,0.0,Boleto,Entregue,Site,38.79,2024,7,2024-07,Friday
765,2023-12-11,10,Alana Teixeira,F,36-45,Sul,Massageador Corporal Wave,Vibradores,215.47,1,0.0,Pix,Entregue,Site,215.47,2023,12,2023-12,Monday
325,2024-12-05,659,Guilherme Vieira,M,26-35,Nordeste,Fantasia Policial,Lingerie,175.16,1,0.0,Pix,Entregue,Site,175.16,2024,12,2024-12,Thursday
16,2024-05-04,57,Maria Cecília das Neves,F,18-25,Centro-Oeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,36.09,1,0.0,Pix,Entregue,Marketplace,36.09,2024,5,2024-05,Saturday
4690,2024-02-13,716,Thiago Machado,M,36-45,Nordeste,Venda para Olhos Satin,Acessórios BDSM,193.8,2,0.0,Pix,Entregue,Marketplace,387.6,2024,2,2024-02,Tuesday
4240,2023-08-01,111,Anthony Marques,M,26-35,Nordeste,Vibrador Ponto G Flex,Vibradores,286.92,1,0.0,Cartão Crédito,Entregue,App,286.92,2023,8,2023-08,Tuesday
