ID_Transacao,Data_Venda,ID_Cliente,Nome_Cliente,Genero_Cliente,Faixa_Etaria,Regiao,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Desconto_Pct,Metodo_Pagamento,Status_Pedido,Canal_Venda
12327,2024-12-05,460,Aylla Souza,Não informado,26-35,Sudeste,Lubrificante Base Silicone,Lubrificantes,60.43,1,0.0,Pix,Entregue,Site
20153,2022-10-09,80,Nina Siqueira,F,26-35,Sul,Jogo Tabuleiro Casais,Jogos Adultos,84.6,1,0.0,Cartão Crédito,Entregue,Site
9200,2026-01-18,254,Isabella Silveira,F,36-45,Sul,Vibrador Rabbit Premium,Vibradores,172.89,3,0.0,Pix,Entregue,Site
13771,2025-04-06,252,Kamilly Novais,F,46+,Sul,Creme Excitante Feminino,Cosméticos Íntimos,103.99,1,0.0,Boleto,Devolvido,App
12634,2020-12-14,232,Marcos Vinicius Gonçalves,M,36-45,Sul,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,56.87,2,30.0,Cartão Débito,Cancelado,App
23458,2024-02-02,511,Marcela Ferreira,F,46+,Sul,Lubrificante Base Silicone,Lubrificantes,69.98,1,0.0,Pix,Entregue,Marketplace
11948,2020-12-31,96,Vitor Hugo Araújo,M,36-45,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,71.01,2,0.0,Cartão Crédito,Entregue,Marketplace
12036,2016-12-19,236,Ana Cecília Ferreira,F,36-45,Sul,Body Rendado Vermelho,Lingerie,143.24,2,0.0,Boleto,Cancelado,Site
8319,2016-06-24,586,José Miguel Cunha,M,26-35,Sudeste,Corda de Shibari 5m,Acessórios BDSM,297.71,1,0.0,Cartão Crédito,Cancelado,Site
8864,2016-05-09,287,Lorena Nunes,F,36-45,Centro-Oeste,Colar e Guia BDSM,Acessórios BDSM,53.22,3,20.0,Pix,Entregue,Site
11683,2018-04-16,210,Dra. Maria Luiza Silveira,F,26-35,Nordeste,Creme Excitante Feminino,Cosméticos Íntimos,144.58,3,0.0,Pix,Entregue,Marketplace
12170,2015-10-09,135,Ana Cecília Fogaça,F,46+,Nordeste,Vibrador Duplo Prazer,Vibradores,205.33,1,20.0,Pix,Entregue,Site
11548,2023-02-12,871,Henrique Mendes,M,36-45,Sul,Lingerie Cropped com Bojo,Lingerie,73.52,4,0.0,Cartão Crédito,Entregue,App
23891,2024-05-16,507,Maria Laura das Neves,F,36-45,Sudeste,Spray Prolongador,Cosméticos Íntimos,64.31,1,30.0,Boleto,Entregue,Site
28149,2023-01-31,9,Pietro Pastor,M,26-35,Sudeste,Mini Vibrador Discreto,Vibradores,490.36,1,10.0,Cartão Crédito,Entregue,Site
17660,2020-02-16,737,Rhavi Cavalcante,M,36-45,Sudeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,62.13,1,0.0,Pix,Entregue,App
15985,2024-08-14,224,Alícia Pinto,F,26-35,Nordeste,Dado do Prazer,Jogos Adultos,72.02,1,0.0,Cartão Crédito,Entregue,Marketplace
1123,2025-10-05,595,Isaque Silva,M,36-45,Sudeste,Gel Excitante Feminino,Lubrificantes,82.02,1,15.0,Cartão Crédito,Cancelado,App
19233,2015-06-06,122,Daniela da Mata,F,26-35,Sul,Lubrificante Sabores Baunilha,Lubrificantes,40.51,1,0.0,Boleto,Entregue,Site
5557,2017-08-01,36,Josué Souza,M,18-25,Sul,Vibrador Rabbit Premium,Vibradores,384.33,2,0.0,Cartão Crédito,Entregue,App
7031,2019-11-28,330,Luana Novaes,F,36-45,Sudeste,Fantasia Enfermeira,Lingerie,94.59,1,5.0,Boleto,Cancelado,Marketplace
15103,2022-05-19,62,Sra. Eloah da Luz,F,26-35,Sudeste,Vibrador Clássico Silicone,Vibradores,498.66,1,0.0,Cartão Crédito,Entregue,Site
15759,2017-10-29,38,Dra. Mariane Pacheco,F,26-35,Sudeste,Vibrador Duplo Prazer,Vibradores,175.32,1,30.0,Cartão Crédito,Entregue,App
19319,2017-03-02,1180,Rebeca Araújo,F,26-35,Nordeste,Gel Excitante Masculino,Lubrificantes,87.16,2,0.0,Pix,Entregue,Marketplace
5287,2017-03-02,1235,Maria Alice Vargas,F,26-35,Sudeste,Meia-Calça Rendada,Lingerie,168.58,2,10.0,Pix,Entregue,App
5139,2016-01-04,345,Lucas Gabriel Novaes,M,18-25,Sudeste,Lubrificante Sabores Baunilha,Lubrificantes,67.2,1,10.0,Boleto,Entregue,App
29407,2022-05-18,101,Bernardo Rocha,M,26-35,Nordeste,Lubrificante Sabores Baunilha,Lubrificantes,57.11,1,0.0,Cartão Crédito,Entregue,Site
1407,2019-12-12,558,Eduardo Castro,M,36-45,Nordeste,Óleo de Massagem Relaxante,Lubrificantes,73.58,1,0.0,Cartão Débito,Devolvido,App
20857,2020-01-22,218,Lara Sá,F,46+,Sul,Vibrador Clássico Silicone,Vibradores,175.24,2,0.0,Pix,Entregue,App
5158,2016-02-16,424,Ayla Ribeiro,F,26-35,Sul,Gel Excitante Feminino,Lubrificantes,45.76,1,5.0,Boleto,Entregue,Site
28192,2021-05-06,195,Lucas Gabriel Dias,M,18-25,Centro-Oeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,41.42,1,0.0,Pix,Devolvido,Marketplace
23895,2019-06-13,71,Dra. Ana Liz da Conceição,F,36-45,Sul,Colar e Guia BDSM,Acessórios BDSM,291.09,1,20.0,Pix,Entregue,Marketplace
6634,2018-02-06,224,Alícia Pinto,F,26-35,Nordeste,Lubrificante Sabores Morango,Lubrificantes,56.6,1,10.0,Cartão Crédito,Cancelado,Site
26895,2026-04-28,11,Otávio Fernandes,M,36-45,Sul,Body Coelhinha Plus Size,Lingerie,171.49,2,0.0,Cartão Crédito,Entregue,Marketplace
7101,2023-11-13,3,Cauã Rocha,M,18-25,Sudeste,Camisola Sensual Preta,Lingerie,159.14,2,10.0,Cartão Crédito,Entregue,Site
19274,2020-07-04,81,Beatriz Araújo,F,26-35,Sul,Jogo de Cartas Sexo Quiz,Jogos Adultos,87.07,1,30.0,Cartão Crédito,Entregue,App
20381,2018-05-07,251,Joana Fernandes,F,46+,Sudeste,Body Coelhinha Plus Size,Lingerie,96.0,2,0.0,Pix,Entregue,Site
12268,2017-07-20,136,Isadora Rios,F,18-25,Sul,Vibrador Duplo Prazer,Vibradores,321.54,1,0.0,Cartão Débito,Entregue,App
11106,2016-10-11,33,Luara Cunha,Não informado,26-35,Norte,Dominó Erótico,Jogos Adultos,94.1,1,5.0,Pix,Entregue,Site
12012,2016-02-11,120,Catarina da Luz,F,18-25,Sul,Fantasia Policial,Lingerie,170.5,1,30.0,Pix,Entregue,Site
1079,2016-09-25,74,Raquel Cunha,F,46+,Sul,Cartas Posições Kamasutra,Jogos Adultos,78.35,2,0.0,Pix,Entregue,Marketplace
2665,2018-05-29,281,Ana Júlia Cassiano,F,36-45,Sul,Wand Massager Pro,Vibradores,211.66,3,10.0,Pix,Entregue,App
27014,2024-06-14,281,Ana Júlia Cassiano,F,36-45,Sul,Conjunto Lingerie Boudoir,Lingerie,167.23,2,0.0,Cartão Crédito,Entregue,Marketplace
5428,2017-07-10,83,Evelyn Correia,F,26-35,Nordeste,Gel Excitante Masculino,Lubrificantes,85.83,2,0.0,Pix,Devolvido,Site
218,2020-06-14,412,Danilo Brito,M,36-45,Sudeste,Meia-Calça Rendada,Lingerie,193.19,4,20.0,Cartão Crédito,Cancelado,Site
25407,2018-05-25,75,Caroline Silveira,F,36-45,Sudeste,Fantasia Policial,Lingerie,73.6,3,0.0,Pix,Entregue,Site
13142,2023-02-24,100,Anna Liz Cirino,F,18-25,Centro-Oeste,Lubrificante Sabores Morango,Lubrificantes,58.97,2,0.0,Cartão Crédito,Entregue,Marketplace
27212,2023-10-14,7,Apollo Novais,M,18-25,Nordeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,85.06,1,5.0,Cartão Débito,Entregue,Marketplace
21797,2024-06-20,10,Alana Teixeira,F,36-45,Sul,Fantasia Policial,Lingerie,94.73,2,20.0,Cartão Crédito,Entregue,Marketplace
28274,2015-11-25,66,Dr. Pedro Lucas Moreira,M,26-35,Sudeste,Lingerie Cropped com Bojo,Lingerie,73.26,2,0.0,Pix,Entregue,Site
10952,2015-02-20,443,Srta. Ana Liz Mendes,F,18-25,Nordeste,Body Rendado Vermelho,Lingerie,191.27,1,5.0,Cartão Crédito,Entregue,App
3495,2015-08-23,323,Dra. Nicole Jesus,F,46+,Sul,Wand Massager Pro,Vibradores,249.95,5,0.0,Pix,Entregue,Site
8048,2019-01-10,10,Alana Teixeira,F,36-45,Sul,Sabonete Íntimo pH Neutro,Cosméticos Íntimos,72.55,1,0.0,Pix,Entregue,Site
2214,2022-05-27,988,Sr. Cauê Vargas,M,46+,Centro-Oeste,Kit Iniciante BDSM 5 Peças,Acessórios BDSM,207.74,1,30.0,Pix,Entregue,App
14100,2018-01-30,677,Kamilly Cardoso,F,18-25,Sudeste,Body Rendado Vermelho,Lingerie,177.22,2,0.0,Pix,Entregue,Marketplace
24908,2017-05-01,88,Sr. Caleb Sá,M,26-35,Sudeste,Body Coelhinha Plus Size,Lingerie,110.06,1,0.0,Cartão Crédito,Devolvido,Site
20323,2016-10-16,145,Natália Ferreira,F,46+,Sul,Massageador Corporal Wave,Vibradores,458.91,3,25.0,Boleto,Entregue,Marketplace
20088,2025-02-19,21,Carlos Eduardo Garcia,Não informado,36-45,Sul,Camisola Sensual Preta,Lingerie,72.94,1,0.0,Cartão Crédito,Entregue,Site
10360,2025-12-01,302,João Pedro Macedo,M,26-35,Sul,Kit Iniciante BDSM 5 Peças,Acessórios BDSM,103.47,2,0.0,Cartão Crédito,Cancelado,App
4422,2019-12-03,942,Sr. Mathias Dias,M,18-25,Sudeste,Mini Vibrador Discreto,Vibradores,261.6,5,0.0,Cartão Crédito,Entregue,Site
10390,2024-11-04,672,Davi Moreira,M,36-45,Sudeste,Body Coelhinha Plus Size,Lingerie,136.93,1,0.0,Cartão Débito,Entregue,Site
28991,2017-02-18,266,Sr. Levi Campos,M,26-35,Centro-Oeste,Lubrificante Sabores Morango,Lubrificantes,54.73,1,25.0,Pix,Cancelado,Site
1792,2020-02-28,402,Alice da Luz,F,26-35,Sudeste,Body Coelhinha Plus Size,Lingerie,87.29,1,0.0,Boleto,Entregue,Site
2959,2020-12-08,97,Sra. Ana Laura Aragão,F,26-35,Sudeste,Lubrificante Sabores Morango,Lubrificantes,79.15,1,0.0,Cartão Crédito,Entregue,App
4700,2019-02-16,1218,Paulo Cavalcanti,M,46+,Sudeste,Lingerie Cropped com Bojo,Lingerie,190.79,2,10.0,Pix,Entregue,Marketplace
8740,2015-04-09,269,Dra. Valentina Peixoto,F,18-25,Sul,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,49.89,1,0.0,Pix,Entregue,Site
9294,2023-06-30,250,Raquel Cunha,F,26-35,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,57.44,1,10.0,Pix,Entregue,Site
7933,2025-04-19,273,Sr. João Guilherme Aparecida,M,18-25,Nordeste,Óleo de Massagem Relaxante,Lubrificantes,29.98,1,0.0,Pix,Entregue,Site
22045,2019-05-25,391,Ana Beatriz Pacheco,F,18-25,Sudeste,Body Coelhinha Plus Size,Lingerie,75.56,3,25.0,Pix,Entregue,Marketplace
12294,2019-05-12,191,João Guilherme Vargas,M,26-35,Nordeste,Lingerie Cropped com Bojo,Lingerie,139.99,1,0.0,Boleto,Entregue,Site
10036,2021-01-12,127,Sra. Kamilly Aparecida,F,36-45,Nordeste,Jogo de Cartas Sexo Quiz,Jogos Adultos,63.57,4,0.0,Pix,Entregue,App
19638,2021-06-04,43,Sra. Ana Luiza Gomes,F,46+,Centro-Oeste,Body Rendado Vermelho,Lingerie,120.24,2,0.0,Pix,Entregue,Site
27557,2017-12-07,393,Lunna Souza,F,26-35,Nordeste,Venda para Olhos Satin,Acessórios BDSM,101.37,1,0.0,Boleto,Entregue,App
4990,2024-04-05,441,Augusto Siqueira,M,46+,Sudeste,Lubrificante Sabores Morango,Lubrificantes,67.8,1,25.0,Cartão Débito,Cancelado,App
20245,2021-03-03,280,Rebeca Barbosa,F,26-35,Norte,Gel Excitante Masculino,Lubrificantes,57.26,1,0.0,Boleto,Entregue,Marketplace
897,2019-12-26,105,Mariah Ribeiro,F,18-25,Nordeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,47.58,1,0.0,Cartão Crédito,Devolvido,App
11045,2022-06-03,138,Nicolas Pinto,M,36-45,Sudeste,Wand Massager Pro,Vibradores,207.93,2,0.0,Pix,Entregue,Site
22091,2018-07-06,162,Davi Silveira,M,36-45,Norte,Mordaça Silicone,Acessórios BDSM,232.3,1,0.0,Pix,Entregue,App
5536,2017-05-01,34,Dr. Miguel Ramos,M,18-25,Nordeste,Vibrador Clássico Silicone,Vibradores,435.23,1,5.0,Pix,Devolvido,App
20852,2026-12-21,284,Henry Gabriel Vasconcelos,M,36-45,Sudeste,Fantasia Policial,Lingerie,72.7,2,20.0,Pix,Cancelado,Marketplace
16615,2020-08-02,255,Samuel Novais,M,26-35,Sul,Spray Prolongador,Cosméticos Íntimos,130.39,2,0.0,Pix,Entregue,App
3843,2018-02-21,194,João Pedro da Costa,M,26-35,Nordeste,Wand Massager Pro,Vibradores,104.55,5,25.0,Cartão Crédito,Entregue,App
10484,2021-05-17,85,Emilly da Mota,F,26-35,Norte,Fantasia Policial,Lingerie,186.62,4,0.0,Cartão Crédito,Entregue,Site
17968,2023-07-28,154,Maya Ferreira,F,18-25,Sudeste,Conjunto Lingerie Boudoir,Lingerie,60.74,1,0.0,Pix,Cancelado,Marketplace
23228,2018-03-29,13,Cauã Borges,M,36-45,Nordeste,Lubrificante Sabores Baunilha,Lubrificantes,77.39,3,0.0,Pix,Entregue,Marketplace
25155,2020-09-26,232,Marcos Vinicius Gonçalves,M,36-45,Sul,Kit Roleplay Surpresa,Jogos Adultos,69.22,2,15.0,Cartão Crédito,Entregue,Site
5426,2018-09-10,258,Ayla da Rocha,F,18-25,Sul,Kit Cuidados Íntimos,Cosméticos Íntimos,66.38,1,0.0,Pix,Entregue,App
24380,2015-01-18,356,Srta. Ana Vitória Melo,F,36-45,Sul,Wand Massager Pro,Vibradores,326.29,2,30.0,Cartão Débito,Entregue,Site
12995,2018-10-16,146,Heloísa Câmara,F,26-35,Nordeste,Cartas Posições Kamasutra,Jogos Adultos,76.94,3,0.0,Cartão Crédito,Entregue,App
3101,2016-09-24,30,Ana Laura da Conceição,F,18-25,Sudeste,Lubrificante Base Silicone,Lubrificantes,75.67,1,10.0,Cartão Débito,Entregue,Site
6165,2018-11-26,89,Enzo Jesus,M,36-45,Sul,Kit Cuidados Íntimos,Cosméticos Íntimos,44.45,2,0.0,Pix,Entregue,Marketplace
26618,2016-06-07,17,Bruno Novaes,M,26-35,Sudeste,Vibrador Duplo Prazer,Vibradores,358.98,1,5.0,Boleto,Entregue,Site
5698,2022-03-03,156,Bruna Gomes,F,26-35,Nordeste,Lubrificante Sabores Baunilha,Lubrificantes,37.48,1,0.0,Pix,Entregue,Site
28685,2015-02-04,326,Ana Júlia Costela,F,18-25,Centro-Oeste,Vibrador Rabbit Premium,Vibradores,190.84,2,30.0,Cartão Crédito,Entregue,Site
5122,2022-09-11,776,Sr. Erick Leão,M,26-35,Nordeste,Gel Excitante Masculino,Lubrificantes,35.41,1,0.0,Pix,Entregue,Site
25934,2018-09-01,281,Ana Júlia Cassiano,F,36-45,Sul,Camisola Sensual Preta,Lingerie,60.14,1,0.0,Cartão Crédito,Entregue,Marketplace
11567,2026-03-30,2,Isabelly Câmara,F,36-45,Nordeste,Colar e Guia BDSM,Acessórios BDSM,134.88,5,30.0,Pix,Entregue,Marketplace
251,2020-06-09,105,Mariah Ribeiro,F,18-25,Nordeste,Vibrador Ponto G Flex,Vibradores,250.21,1,5.0,Pix,Cancelado,Site
12987,2022-05-22,870,Asafe Barbosa,M,36-45,Nordeste,Body Coelhinha Plus Size,Lingerie,139.57,1,0.0,Pix,Entregue,App
2572,2024-09-12,710,Anthony Caldeira,M,36-45,Nordeste,Meia-Calça Rendada,Lingerie,108.6,4,25.0,Boleto,Entregue,Site
22568,2015-08-03,9,Pietro Pastor,M,26-35,Sudeste,Massageador Corporal Wave,Vibradores,336.99,3,0.0,Boleto,Entregue,Site
10723,2016-12-28,214,Sra. Catarina Martins,F,46+,Sul,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,57.01,1,0.0,Cartão Crédito,Entregue,Site
15417,2026-06-24,50,João Montenegro,M,26-35,Sudeste,Lubrificante Sabores Morango,Lubrificantes,65.54,1,0.0,Cartão Crédito,Entregue,Marketplace
15279,2025-08-22,133,Clara Lopes,F,26-35,Sul,Corda de Shibari 5m,Acessórios BDSM,260.83,2,0.0,Pix,Entregue,Marketplace
25811,2019-04-28,349,Augusto Dias,M,26-35,Sudeste,Fantasia Enfermeira,Lingerie,157.23,1,25.0,Cartão Crédito,Entregue,Site
8024,2020-12-21,159,Zoe Rodrigues,F,46+,Sul,Wand Massager Pro,Vibradores,484.14,4,25.0,Pix,Entregue,App
23339,2022-09-04,236,Ana Cecília Ferreira,F,36-45,Sul,Óleo de Massagem Relaxante,Lubrificantes,75.0,2,0.0,Cartão Crédito,Entregue,Marketplace
7746,2023-12-26,275,Sr. Samuel Caldeira,M,36-45,Norte,Dado do Prazer,Jogos Adultos,87.25,2,0.0,Boleto,Cancelado,Site
11072,2022-11-09,728,Letícia Pastor,F,26-35,Nordeste,Vibrador Duplo Prazer,Vibradores,187.7,2,0.0,Pix,Entregue,Marketplace
10824,2023-12-09,42,Eduarda Vieira,F,18-25,Sudeste,Gel Térmico Sensação Quente,Cosméticos Íntimos,105.88,3,0.0,Pix,Entregue,Site
18956,2019-01-16,696,Ravi Lucca Campos,M,26-35,Sul,Vibrador Ponto G Flex,Vibradores,469.15,1,0.0,Pix,Devolvido,Marketplace
21558,2025-09-07,117,Kevin Pimenta,M,26-35,Norte,Colar e Guia BDSM,Acessórios BDSM,101.38,1,0.0,Pix,Entregue,Marketplace
2498,2018-10-20,602,Maria Julia Melo,F,36-45,Sudeste,Creme Retardante Masculino,Cosméticos Íntimos,83.69,4,0.0,Pix,Entregue,App
15007,2024-10-30,90,Rafaela Cunha,Não informado,36-45,Sudeste,Meia-Calça Rendada,Lingerie,159.59,1,0.0,Pix,Cancelado,Marketplace
27102,2018-11-03,97,Sra. Ana Laura Aragão,F,26-35,Sudeste,Lubrificante Íntimo Aquoso 100ml,Lubrificantes,32.9,1,0.0,Cartão Crédito,Entregue,App
16223,2025-07-06,118,Dra. Alexia Rios,F,46+,Sudeste,Óleo de Massagem Relaxante,Lubrificantes,84.66,2,25.0,Cartão Débito,Entregue,App
21780,2019-11-14,7,Apollo Novais,M,18-25,Nordeste,Colar e Guia BDSM,Acessórios BDSM,163.63,2,30.0,Pix,Entregue,Site
4904,2017-09-23,111,Anthony Marques,M,26-35,Nordeste,Dominó Erótico,Jogos Adultos,99.75,3,10.0,Pix,Entregue,Site
29080,2016-07-27,979,Bernardo Vieira,M,36-45,Nordeste,Body Coelhinha Plus Size,Lingerie,139.48,2,0.0,Cartão Crédito,Entregue,Marketplace
15915,2021-06-23,543,Cecília Ferreira,F,26-35,Sudeste,Conjunto Lingerie Boudoir,Lingerie,71.4,4,0.0,Cartão Crédito,Entregue,Site
16498,2019-09-28,40,Thomas Monteiro,M,36-45,Sudeste,Mini Vibrador Discreto,Vibradores,177.52,3,0.0,Cartão Crédito,Entregue,Site
211,2024-11-13,239,Sra. Alice Leão,F,18-25,Sudeste,Venda para Olhos Satin,Acessórios BDSM,171.8,1,20.0,Cartão Crédito,Entregue,App
11019,2025-06-14,153,João Andrade,M,26-35,Sul,Gel Excitante Masculino,Lubrificantes,67.83,1,0.0,Boleto,Entregue,Site
27319,2026-04-10,113,Hadassa Montenegro,F,36-45,Sul,Venda para Olhos Satin,Acessórios BDSM,204.34,1,0.0,Cartão Crédito,Entregue,Marketplace
20942,2024-03-27,420,Isaac Fonseca,M,26-35,Sul,Fantasia Enfermeira,Lingerie,149.44,3,0.0,Pix,Entregue,App
14805,2024-05-28,23,Elisa Freitas,F,18-25,Sudeste,Óleo de Massagem Relaxante,Lubrificantes,36.36,2,20.0,Cartão Crédito,Entregue,Marketplace
1442,2020-08-09,30,Ana Laura da Conceição,F,18-25,Sudeste,Vibrador Ponto G Flex,Vibradores,289.49,1,15.0,Cartão Crédito,Entregue,Site
10862,2026-07-27,125,Dr. Thiago Mendonça,M,36-45,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,43.88,3,20.0,Pix,Cancelado,Site
14303,2016-11-12,27,Elisa Martins,F,26-35,Sul,Lubrificante Sabores Morango,Lubrificantes,47.46,2,0.0,Boleto,Entregue,Site
3484,2023-11-28,763,João Gabriel Novais,M,26-35,Nordeste,Body Rendado Vermelho,Lingerie,73.53,1,0.0,Pix,Entregue,Site
1661,2019-01-16,276,Larissa Melo,F,18-25,Sul,Óleo de Massagem Relaxante,Lubrificantes,40.89,1,0.0,Pix,Entregue,App
8846,2025-06-28,396,Sarah da Mata,F,46+,Nordeste,Gel Excitante Masculino,Lubrificantes,72.29,4,0.0,Pix,Entregue,App
18755,2020-09-21,444,Paulo Rodrigues,M,36-45,Sudeste,Camisola Sensual Preta,Lingerie,138.91,1,0.0,Pix,Entregue,Site
1816,2025-08-07,1031,Thomas Gomes,Não informado,46+,Nordeste,Wand Massager Pro,Vibradores,426.74,2,0.0,Pix,Entregue,Site
25284,2022-05-29,99,Emanuel Araújo,M,26-35,Sudeste,Corda de Shibari 5m,Acessórios BDSM,229.04,1,0.0,Pix,Entregue,Site
22908,2016-02-12,693,Sra. Manuella Guerra,F,18-25,Sudeste,Óleo de Massagem Relaxante,Lubrificantes,31.32,1,25.0,Pix,Entregue,App
3567,2018-04-21,257,Sra. Melissa Vieira,F,46+,Sul,Body Coelhinha Plus Size,Lingerie,91.15,1,10.0,Cartão Crédito,Entregue,Marketplace
13605,2024-08-01,6,Helena da Conceição,F,26-35,Sul,Spray Prolongador,Cosméticos Íntimos,102.84,1,0.0,Cartão Crédito,Entregue,App
28796,2020-12-20,76,Renan da Cruz,M,26-35,Nordeste,Body Coelhinha Plus Size,Lingerie,64.74,1,10.0,Cartão Crédito,Entregue,App
25163,2025-04-27,154,Maya Ferreira,F,18-25,Sudeste,Lubrificante Íntimo Aquoso 250ml,Lubrificantes,59.96,1,0.0,Pix,Entregue,Site
21904,2016-01-05,178,Brayan Marques,M,26-35,Sudeste,Meia-Calça Rendada,Lingerie,85.29,2,25.0,Pix,Entregue,App
16942,2026-08-01,11,Otávio Fernandes,M,36-45,Sul,Fantasia Enfermeira,Lingerie,126.58,2,25.0,Boleto,Entregue,App
27939,2025-04-22,424,Ayla Ribeiro,F,26-35,Sul,Camisola Sensual Preta,Lingerie,152.56,1,0.0,Pix,Cancelado,Site
14898,2024-07-15,53,Daniela Freitas,F,26-35,Sudeste,Body Rendado Vermelho,Lingerie,192.45,1,5.0,Pix,Entregue,App
